App;Open;date
youtube;openedApp;2023-04-28T21:09:18Z
mydealz;openedApp;2023-04-28T21:45:07Z
youtube;openedApp;2023-04-29T06:56:47Z
youtube;dismissedAppOpening;2023-04-29T15:49:36Z
youtube;openedApp;2023-04-29T15:49:56Z
youtube;openedApp;2023-04-29T21:32:25Z
mydealz;openedApp;2023-04-30T06:10:29Z
youtube;openedApp;2023-04-30T08:49:22Z
youtube;dismissedAppOpening;2023-04-30T08:55:30Z
youtube;openedApp;2023-04-30T08:56:17Z
youtube;openedApp;2023-04-30T09:24:42Z
youtube;openedApp;2023-04-30T10:31:42Z
youtube;openedApp;2023-04-30T16:16:01Z
youtube;openedApp;2023-04-30T17:10:56Z
youtube;openedApp;2023-05-02T10:46:28Z
youtube;dismissedAppOpening;2023-05-02T11:13:03Z
youtube;openedApp;2023-05-02T11:59:17Z
youtube;openedApp;2023-05-02T14:40:58Z
youtube;openedApp;2023-05-02T16:54:38Z
youtube;openedApp;2023-05-02T18:59:48Z
youtube;openedApp;2023-05-03T20:01:49Z
youtube;openedApp;2023-05-03T21:07:18Z
youtube;dismissedAppOpening;2023-05-03T21:15:45Z
youtube;dismissedAppOpening;2023-05-03T21:15:46Z
youtube;openedApp;2023-05-04T06:02:01Z
youtube;openedApp;2023-05-04T14:54:16Z
youtube;openedApp;2023-05-04T20:20:46Z
youtube;openedApp;2023-05-04T20:49:15Z
youtube;openedApp;2023-05-05T18:38:42Z
youtube;openedApp;2023-05-06T06:39:34Z
mydealz;openedApp;2023-05-06T18:39:30Z
youtube;openedApp;2023-05-06T21:24:38Z
youtube;dismissedAppOpening;2023-05-07T07:50:21Z
youtube;dismissedAppOpening;2023-05-07T07:51:44Z
youtube;dismissedAppOpening;2023-05-07T07:51:46Z
youtube;openedApp;2023-05-07T14:11:35Z
youtube;openedApp;2023-05-07T17:59:55Z
youtube;openedApp;2023-05-07T18:06:40Z
youtube;openedApp;2023-05-07T18:11:55Z
mydealz;dismissedAppOpening;2023-05-11T15:35:50Z
youtube;openedApp;2023-05-12T06:55:24Z
mydealz;dismissedAppOpening;2023-05-14T09:38:23Z
youtube;dismissedAppOpening;2023-05-14T16:38:07Z
youtube;openedApp;2023-05-15T12:57:58Z
youtube;openedApp;2023-05-15T19:04:18Z
